ProductID,CategoryID,ProductName,UnitPrice,UnitCost,LaunchDate,IsActive
1,1,Northstar Essential Headphones,230.88,129.35,2023-05-06,Yes
2,1,Northstar Essential Speaker,181.35,102.54,2022-04-29,Yes
3,1,Northstar Essential Charger,190.36,108.77,2022-12-21,Yes
4,1,Northstar Advanced Headphones,156.83,97.22,2022-07-13,Yes
5,1,Northstar Advanced Speaker,201.74,126.80,2021-08-16,Yes
6,1,Northstar Advanced Charger,140.42,72.07,2025-05-31,Yes
7,1,Northstar Compact Headphones,144.92,99.62,2024-05-18,Yes
8,1,Northstar Compact Speaker,124.46,68.05,2025-02-05,Yes
9,1,Northstar Compact Charger,189.10,94.21,2021-12-24,Yes
10,1,Northstar Wireless Headphones,73.40,38.32,2023-01-09,Yes
11,1,Northstar Wireless Speaker,111.09,57.60,2025-07-29,Yes
12,1,Northstar Wireless Charger,231.29,122.14,2023-07-09,Yes
13,1,Northstar Premium Headphones,61.90,36.16,2025-03-11,Yes
14,1,Northstar Premium Speaker,42.50,23.59,2023-01-31,Yes
15,1,Northstar Premium Charger,78.00,48.00,2022-08-19,Yes
16,2,Northstar Classic Cookware Set,29.60,15.48,2025-10-30,Yes
17,2,Northstar Classic Coffee Maker,164.87,86.26,2025-12-16,No
18,2,Northstar Classic Blender,29.39,14.20,2021-07-07,Yes
19,2,Northstar Modern Cookware Set,50.44,28.72,2026-06-03,Yes
20,2,Northstar Modern Coffee Maker,281.06,191.72,2021-04-01,Yes
21,2,Northstar Modern Blender,91.14,42.87,2022-10-17,Yes
22,2,Northstar Deluxe Cookware Set,214.99,100.63,2022-10-27,Yes
23,2,Northstar Deluxe Coffee Maker,216.64,122.71,2023-04-18,No
24,2,Northstar Deluxe Blender,139.18,92.25,2023-09-06,Yes
25,2,Northstar Compact Cookware Set,105.06,68.30,2025-06-18,Yes
26,2,Northstar Compact Coffee Maker,236.92,156.34,2023-03-06,Yes
27,2,Northstar Compact Blender,199.96,139.04,2026-02-13,Yes
28,2,Northstar Professional Cookware Set,282.12,132.57,2022-03-04,Yes
29,2,Northstar Professional Coffee Maker,79.40,45.16,2025-09-19,Yes
30,2,Northstar Professional Blender,243.46,156.70,2025-07-17,Yes
31,3,Northstar Ergonomic Desk Chair,51.74,28.97,2025-11-03,Yes
32,3,Northstar Ergonomic Desk Lamp,213.98,124.34,2025-04-09,Yes
33,3,Northstar Ergonomic Organizer,142.19,67.35,2024-01-15,Yes
34,3,Northstar Executive Desk Chair,281.33,138.82,2025-01-29,Yes
35,3,Northstar Executive Desk Lamp,28.75,16.14,2022-10-24,No
36,3,Northstar Executive Organizer,320.11,223.96,2022-07-20,Yes
37,3,Northstar Essential Desk Chair,238.71,162.45,2021-12-15,Yes
38,3,Northstar Essential Desk Lamp,56.32,34.09,2025-12-25,Yes
39,3,Northstar Essential Organizer,335.89,202.10,2025-07-10,Yes
40,3,Northstar Compact Desk Chair,168.66,80.50,2025-10-23,Yes
41,3,Northstar Compact Desk Lamp,293.57,202.83,2022-09-06,Yes
42,3,Northstar Compact Organizer,101.74,56.75,2025-08-24,Yes
43,3,Northstar Premium Desk Chair,291.23,167.47,2024-02-20,Yes
44,3,Northstar Premium Desk Lamp,115.58,62.08,2022-04-08,Yes
45,3,Northstar Premium Organizer,151.59,73.02,2025-03-27,Yes
46,4,Northstar Performance Dumbbell Set,138.81,71.10,2021-02-21,Yes
47,4,Northstar Performance Yoga Mat,84.21,52.15,2026-08-20,Yes
48,4,Northstar Performance Resistance Kit,41.32,25.84,2025-02-12,Yes
49,4,Northstar Adjustable Dumbbell Set,238.17,143.37,2022-05-30,Yes
50,4,Northstar Adjustable Yoga Mat,251.66,173.37,2022-02-06,No
51,4,Northstar Adjustable Resistance Kit,52.78,28.47,2026-09-04,Yes
52,4,Northstar Portable Dumbbell Set,201.70,119.17,2021-11-11,Yes
53,4,Northstar Portable Yoga Mat,245.74,151.46,2023-05-27,Yes
54,4,Northstar Portable Resistance Kit,124.35,81.43,2022-10-13,Yes
55,4,Northstar Essential Dumbbell Set,32.60,22.08,2022-07-02,Yes
56,4,Northstar Essential Yoga Mat,116.62,81.48,2021-09-29,Yes
57,4,Northstar Essential Resistance Kit,152.14,74.20,2026-06-19,Yes
58,4,Northstar Professional Dumbbell Set,186.17,100.13,2023-05-22,No
59,4,Northstar Professional Yoga Mat,126.24,76.58,2026-03-29,Yes
60,4,Northstar Professional Resistance Kit,223.35,124.05,2024-06-11,No
61,5,Northstar Trail Backpack,73.59,45.27,2026-01-18,Yes
62,5,Northstar Trail Camping Chair,33.32,17.18,2022-06-29,Yes
63,5,Northstar Trail Cooler,127.09,61.54,2024-01-02,Yes
64,5,Northstar Weatherproof Backpack,36.22,24.68,2021-10-24,Yes
65,5,Northstar Weatherproof Camping Chair,294.93,162.66,2026-06-11,Yes
66,5,Northstar Weatherproof Cooler,102.82,59.85,2024-06-13,Yes
67,5,Northstar Adventure Backpack,33.44,17.68,2023-10-25,No
68,5,Northstar Adventure Camping Chair,60.31,28.34,2021-04-06,Yes
69,5,Northstar Adventure Cooler,143.01,92.19,2022-09-21,Yes
70,5,Northstar Lightweight Backpack,283.22,137.61,2024-05-28,Yes
71,5,Northstar Lightweight Camping Chair,85.69,54.14,2025-08-10,Yes
72,5,Northstar Lightweight Cooler,202.61,95.03,2023-12-03,Yes
73,5,Northstar Expedition Backpack,29.25,17.22,2021-08-28,Yes
74,5,Northstar Expedition Camping Chair,212.99,141.93,2025-02-01,Yes
75,5,Northstar Expedition Cooler,313.35,191.27,2023-06-10,Yes
76,6,Northstar Daily Skin Care Set,39.28,19.36,2023-07-18,Yes
