ProductID,CategoryID,ProductName,UnitPrice,UnitCost,LaunchDate,IsActive
1,1,Northstar Essential Headphones,87.96,50.63,2025-12-15,Yes
2,1,Northstar Essential Speaker,166.29,112.86,2025-06-07,Yes
3,1,Northstar Essential Charger,94.84,45.80,2021-12-20,Yes
4,1,Northstar Advanced Headphones,75.82,49.05,2024-09-01,Yes
5,1,Northstar Advanced Speaker,209.77,110.93,2026-08-24,Yes
6,1,Northstar Advanced Charger,50.38,27.40,2021-11-16,Yes
7,1,Northstar Compact Headphones,182.95,105.71,2024-10-03,Yes
8,1,Northstar Compact Speaker,60.76,41.45,2021-07-18,Yes
9,1,Northstar Compact Charger,148.99,84.38,2021-01-30,Yes
10,1,Northstar Wireless Headphones,73.71,36.39,2024-04-14,Yes
11,1,Northstar Wireless Speaker,232.90,155.30,2025-03-07,Yes
12,1,Northstar Wireless Charger,69.57,42.70,2023-03-22,Yes
13,1,Northstar Premium Headphones,37.95,19.77,2023-04-05,Yes
14,1,Northstar Premium Speaker,89.30,51.08,2026-05-02,Yes
15,1,Northstar Premium Charger,46.88,29.87,2023-05-29,Yes
16,2,Northstar Classic Cookware Set,261.45,143.19,2023-09-18,Yes
17,2,Northstar Classic Coffee Maker,73.38,41.37,2026-08-14,No
18,2,Northstar Classic Blender,205.40,131.88,2021-07-28,Yes
19,2,Northstar Modern Cookware Set,251.45,153.83,2022-01-02,Yes
20,2,Northstar Modern Coffee Maker,158.48,88.08,2024-05-14,Yes
21,2,Northstar Modern Blender,127.87,86.88,2024-11-10,Yes
22,2,Northstar Deluxe Cookware Set,93.52,57.24,2022-06-05,Yes
23,2,Northstar Deluxe Coffee Maker,259.95,133.78,2023-11-21,Yes
24,2,Northstar Deluxe Blender,175.40,99.02,2024-09-27,No
25,2,Northstar Compact Cookware Set,64.98,37.50,2025-06-21,Yes
26,2,Northstar Compact Coffee Maker,277.00,189.73,2021-06-25,Yes
27,2,Northstar Compact Blender,68.80,40.28,2024-03-24,No
